NaftaliBennett,Netanyahu,4,4
NaftaliBennett,Netanyahu,5,5
NaftaliBennett,Netanyahu,3,1
NaftaliBennett,Netanyahu,3,7
NaftaliBennett,Netanyahu,5,4
NaftaliBennett,Netanyahu,1,6
NaftaliBennett,Netanyahu,2,5
NaftaliBennett,YairLapid,6,2
NaftaliBennett,YairLapid,0,4
NaftaliBennett,YairLapid,1,5
NaftaliBennett,YairLapid,1,1
NaftaliBennett,YairLapid,0,3
NaftaliBennett,YairLapid,6,4
NaftaliBennett,YairLapid,4,5
NaftaliBennett,YairLapid,2,5
Netanyahu,YairLapid,0,1
Netanyahu,YairLapid,6,2
Netanyahu,YairLapid,3,4
Netanyahu,YairLapid,1,4
Netanyahu,YairLapid,0,5
Netanyahu,YairLapid,7,5
Netanyahu,YairLapid,4,7
